Manufacturer Part Number,Supplier Part Number,Description,Package,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient,Link
FCC0805B681K101DT,C7467187,680pF ±10% 100V Ceramic Capacitor X7R 0805,0805,680pF,±10%,100V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467187.html
FCC0603B202K500CT,C7467178,2nF ±10% 50V Ceramic Capacitor X7R 0603,0603,2nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467178.html
FCC0402B471K500AT,C7467119,470pF ±10% 50V Ceramic Capacitor X7R 0402,0402,470pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467119.html
FCC0402X106M100AT,C7467116,10uF ±20% 10V Ceramic Capacitor X5R 0402,0402,10uF,±20%,10V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467116.html
FCC0805N8R0C500BT,C7419434,8pF 50V Ceramic Capacitor C0G 0805,0805,8pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419434.html
FCC0603N150J500CT,C5137617,15pF ±5% 50V Ceramic Capacitor C0G 0603,0603,15pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137617.html
FCC0603B472K500CT,C5137561,4.7nF ±10% 50V Ceramic Capacitor X7R 0603,0603,4.7nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137561.html
FCC1206B221K102FT,C5137559,220pF ±10% 1kV Ceramic Capacitor X7R 1206,1206,220pF,±10%,1kV,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137559.html
FCC0402X105M6R3AT,C5137485,1uF ±20% 6.3V Ceramic Capacitor X5R 0402,0402,1uF,±20%,6.3V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137485.html
FCC0402B154K160AT,C7496646,150nF ±10% 16V Ceramic Capacitor X7R 0402,0402,150nF,±10%,16V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496646.html
FCC0805N1R0C500BT,C7496645,1pF 50V Ceramic Capacitor C0G 0805,0805,1pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496645.html
FCC0805N360J500BT,C7496640,36pF ±5% 50V Ceramic Capacitor COG 0805,0805,36pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496640.html
FCC0805N430J500BT,C7496652,43pF ±5% 50V Ceramic Capacitor COG 0805,0805,43pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496652.html
FCC1206B683K500DT,C7496651,68nF ±10% 50V Ceramic Capacitor X7R 1206,1206,68nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496651.html
FCC0805N510J500BT,C7496649,51pF ±5% 50V Ceramic Capacitor COG 0805,0805,51pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496649.html
FCC1206B561K500DT,C7496648,560pF ±10% 50V Ceramic Capacitor X7R 1206,1206,560pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496648.html
FCC1206N5R0D500DT,C7496647,5pF 50V Ceramic Capacitor C0G 1206,1206,5pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496647.html
FCC0603B391K500CT,C7496644,390pF ±10% 50V Ceramic Capacitor X7R 0603,0603,390pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496644.html
FCC0603N4R3C500CT,C7496639,4.3pF 50V Ceramic Capacitor C0G 0603,0603,4.3pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496639.html
FCC1206N220J102FT,C7467161,22pF ±5% 1kV Ceramic Capacitor C0G 1206,1206,22pF,±5%,1kV,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467161.html
FCC0402X474K160AT,C7467110,470nF ±10% 16V Ceramic Capacitor X5R 0402,0402,470nF,±10%,16V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467110.html
