Manufacturer Part Number,Supplier Part Number,Description,Package,Resistance,Tolerance,Voltage Rating,Power,Link
FRP2512F6802TS,C7468207,68kΩ 2W Thick Film Resistor ±200ppm/℃ ±1% 2512 Chip Resistor - Surface Mount RoHS,2512,68kΩ,±1%,,2W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7468207.html
FRL2010FR018TS,C7467719,18mΩ 750mW Thick Film Resistor ±1% 2010 Chip Resistor - Surface Mount RoHS,2010,18mΩ,±1%,,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467719.html
FRL2010FR010TS,C7467665,10mΩ 750mW Thick Film Resistor ±1% 2010 Chip Resistor - Surface Mount RoHS,2010,10mΩ,±1%,,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467665.html
FRC2010F3603TS,C7467406,360kΩ 750mW 200V Thick Film Resistor ±1% ±100ppm/℃ 2010 Chip Resistor - Surface Mount RoHS,2010,360kΩ,±1%,200V,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467406.html
FRS2512J102 TS,C5713476,1W 1kΩ Thick Film Resistor ±100ppm/℃ ±5% 2512 Chip Resistor - Surface Mount RoHS,2512,1kΩ,±5%,,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5713476.html
FRP2010F2R20TS,C5713423,1W 2.2Ω 200V Thick Film Resistor ±1% ±200ppm/℃ 2010 Chip Resistor - Surface Mount RoHS,2010,2.2Ω,±1%,200V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5713423.html
FRP1206J390 TS,C5713422,39Ω ±5% 500mW 1206 Thick Film Resistor,1206,39Ω,±5%,200V,500mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5713422.html
FRP1206F82R0TS,C5713421,82Ω ±1% 500mW 1206 Thick Film Resistor,1206,82Ω,±1%,200V,500mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5713421.html
FRL2512FR400TS,C5713413,400mΩ ±1% 1W 2512 Thick Film Resistor,2512,400mΩ,±1%,500V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5713413.html
FRL1812JR075TS,C5713403,75mΩ 750mW Thick Film Resistor ±5% ±600ppm/℃ 1812 Chip Resistor - Surface Mount RoHS,1812,75mΩ,±5%,,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5713403.html
FRC2512F3303TS,C5713378,330kΩ ±1% 1W 2512 Thick Film Resistor,2512,330kΩ,±1%,200V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5713378.html
FRC0603F8250TS,C5713294,825Ω ±1% 100mW 0603 Thick Film Resistor,0603,825Ω,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5713294.html
FRL0402JR510TS,C5159695,510mΩ ±5% 62.5mW 0402 Thick Film Resistor,0402,510mΩ,±5%,100V,62.5mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5159695.html
FRC2010F1R50TS,C5146253,1.5Ω ±1% 750mW 2010 Thick Film Resistor,2010,1.5Ω,±1%,200V,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5146253.html
FRL1812JR240TS,C5126145,240mΩ Thick Film Resistor ±300ppm/℃ ±5% 1812 Chip Resistor - Surface Mount RoHS,1812,240mΩ,±5%,,,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5126145.html
FRC0402F4R99TS,C5126051,4.99Ω ±1% 62.5mW 0402 Thick Film Resistor,0402,4.99Ω,±1%,50V,62.5mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5126051.html
FRP0402F2001TS,C5126028,2kΩ ±1% 100mW 0402 Thick Film Resistor,0402,2kΩ,±1%,50V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5126028.html
FRC1210F8202TS,C5121554,82kΩ ±1% 500mW 1210 Thick Film Resistor,1210,82kΩ,±1%,200V,500mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5121554.html
FRL1812JR470TS,C3013365,750mW 470mΩ Thick Film Resistor ±300ppm/℃ ±5% 1812 Chip Resistor - Surface Mount RoHS,1812,470mΩ,±5%,,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C3013365.html
FRL0603FR510TS,C3013350,510mΩ ±1% 100mW 0603 Thick Film Resistor,0603,510mΩ,±1%,100V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C3013350.html
FRC2010F5103TS,C3013310,510kΩ ±1% 750mW 2010 Thick Film Resistor,2010,510kΩ,±1%,200V,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C3013310.html
FRC1210J334 TS,C3013287,330kΩ ±5% 500mW 1210 Thick Film Resistor,1210,330kΩ,±5%,200V,500mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C3013287.html
FRC1210F47R0TS,C3000755,47Ω ±1% 500mW 1210 Thick Film Resistor,1210,47Ω,±1%,200V,500mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C3000755.html
FRL2512JR075TS,C3000715,75mΩ ±5% 1W 2512 Thick Film Resistor,2512,75mΩ,±5%,500V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C3000715.html
FRC2512F3001TS,C3000675,3kΩ ±1% 1W 2512 Thick Film Resistor,2512,3kΩ,±1%,200V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C3000675.html
FRC1206F2553TS,C2999527,255kΩ ±1% 250mW 1206 Thick Film Resistor,1206,255kΩ,±1%,200V,250mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2999527.html
FRC0603F3832TS,C2999480,38.3kΩ ±1% 100mW 0603 Thick Film Resistor,0603,38.3kΩ,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2999480.html
FRC1206F2210TS,C2974049,221Ω ±1% 250mW 1206 Thick Film Resistor,1206,221Ω,±1%,200V,250mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2974049.html
FRL1210FR330TS,C2960935,330mΩ ±1% 500mW 1210 Thick Film Resistor,1210,330mΩ,±1%,500V,500mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2960935.html
FRC1206F2702TS,C2960927,27kΩ ±1% 250mW 1206 Thick Film Resistor,1206,27kΩ,±1%,200V,250mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2960927.html
FRC2010J392 TS,C2960925,3.9kΩ ±5% 750mW 2010 Thick Film Resistor,2010,3.9kΩ,±5%,200V,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2960925.html
FRL2010JR220TS,C2960855,220mΩ ±5% 750mW 2010 Thick Film Resistor,2010,220mΩ,±5%,500V,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2960855.html
